Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),,,
дождичек,6543,rain,N.Masc.Inan,B2,LM,1,дождичек,Nom.Sing,Вчера шёл мелкий дождичек.,There was a light rain yesterday.,_,погода,,,
дождливый,6544,rainy,A,B2,LM,1,дождливыми,Ins.Plur,Последние дни лета были дождливыми.,The last days of summer were rainy.,_,погода,,,
дождливый,6545,rainy,A,B2,LM,2,дождливым,Ins.Neut.Sing,Ранним дождливым утром я вернулся из отпуска.,Early one rainy morning I came back from my vacation,_,погода,,,
дождливый,6546,rainy,A,B2,LM,3,дождливую,Acc.Fem.Sing,Я люблю дождливую погоду.,I like rainy weather.,_,погода,,,
дорожать,6547,go up in price,V,B2,LM,1,дорожает,Imperf.Sing.3,Бензин дорожает каждый год.,Gasoline gets more expensive every year.,_,"мера, магазин",,,
доставать,6548,take,V,B2,LM,1,достаёт,Imperf.Sing.3,"Когда Пете становится скучно, он достаёт зажигалку и уходит курить.","When Petya feels bored, he takes his lighter and goes for a smoke.",_,"описание, свободное время",,,
доставать,6549,take,V,B2,LM,2,доставать,Imperf.Inf,Опасно доставать кошелёк в тёмном переулке.,It's dangerous to take out your wallet in a dark alley.,_,"описание, свободное время",,,
доставать,6550,take,V,B2,LM,3,доставала,Imperf.Fem.Sing.Past,"Моя жена приходила с работы пораньше, доставала еду из холодильника и начинала готовить.","My wife came home from work earlier than usual, took some food out of the refrigerator and started cooking.",_,"описание, свободное время",,,
доказательство,6551,evidence,N.Neut.Inan,B2,LM,1,доказательство,Nom.Sing,Доказательство его вины неопровержимо.,The proof of his guilt is irrefutable.,_,"политика, учёба/работа, общение",,,
доказательство,6552,evidence,N.Neut.Inan,B2,LM,2,доказательства,Gen.Sing,Нет ни одного достоверного доказательства его вины.,There is no credible evidence of his guilt.,_,"политика, учёба/работа, общение",,,
доказательство,6553,evidence,N.Neut.Inan,B2,LM,3,доказательств,Gen.Plur,Судья закрыл дело ввиду отсутствия доказательств.,The judge closed the case for lack of evidence.,_,"политика, учёба/работа, общение",,,
долг,6554,debt,N.Masc.Inan,B2,LM,1,долг,Acc.Sing,Он честно выполнял свой долг.,He preformed his duty faithfully.,_,"внутренний мир, учёба/работа",,,
долг,6555,debt,N.Masc.Inan,B2,LM,2,долга,Gen.Sing,Петя занял у меня денег для погашения долга.,Petya borrowed some money from me in order to pay off his debt.,_,"внутренний мир, учёба/работа",,,
долг,6556,debt,N.Masc.Inan,B2,LM,3,долгов,Gen.Plur,Александр продал часть своего бизнеса из-за долгов.,Alexander sold part of his business because of debts.,_,"внутренний мир, учёба/работа",,,
должность,6557,position,N.Fem.Inan,B2,LM,1,должность,Acc.Sing,Дима давно хотел получить эту должность.,Dima has wanted to get this position for a long time.,_,учёба/работа,,,
должность,6558,position,N.Fem.Inan,B2,LM,2,должности,Gen.Sing,Президент получил право отстранять губернаторов от должности.,The president has received the right to remove governors from their posts.,_,учёба/работа,,,
должность,6559,position,N.Fem.Inan,B2,LM,3,должностей,Gen.Plur,На предприятии учредили множество новых должностей.,The company has established a lot of new positions.,_,учёба/работа,,,
долина,6560,valley,N.Fem.Inan,B2,LM,1,долине,Loc.Sing,После прогулки в прекрасной долине мы устроили пикник. ,After a walk in the beautiful valley we had a picnic.,_,путешествие,,,
долина,6561,valley,N.Fem.Inan,B2,LM,2,долины,Nom.Plur,Вокруг были видны холмы и долины.,Hills and valleys could be seen all around.,_,путешествие,,,
долина,6562,valley,N.Fem.Inan,B2,LM,3,долинами,Ins.Plur,Юрий Долгорукий искал новые земли между долинами Днепра и Волги.,Yuri Dolgorukiy looked for new land between the valleys of the Dnieper and the Volga.,_,путешествие,,,
доллар,6563,dollar,N.Masc.Inan,B2,"Golosa, LM",1,долларов,Gen.Plur,Нам нужно срочно найти три тысячи долларов США.,We need to find three thousand US dollars fast.,_,"магазин, мера",,,
